Datum,TN,TX,RR,TX transformed,TN transformed
2019-10-11,8.8,15.6,1.1,-0.13477440086411954,-0.13477440086411954
2019-10-12,11.5,20.1,0.0,0.2849757108540383,0.2849757108540383
2019-10-13,11.8,24.2,0.0,0.6896689161836205,0.6896689161836205
2019-10-14,13.2,22.5,0.0,0.5170175940139116,0.5170175940139116
2019-10-15,10.3,22.0,0.0,0.46774203762967875,0.46774203762967875
2019-10-16,8.4,14.2,6.3,-0.26605960843861537,-0.26605960843861537
2019-10-17,11.3,17.6,0.6,0.05105517080028417,0.05105517080028417
2019-10-18,8.1,19.3,5.9,0.20958048476658891,0.20958048476658891
2019-10-19,7.4,16.0,0.0,-0.09752502013387773,-0.09752502013387773
2019-10-20,10.1,20.5,0.0,0.3229638865964207,0.3229638865964207
2019-10-21,9.8,17.8,0.0,0.06963369175880096,0.06963369175880096
2019-10-22,7.3,17.6,0.0,0.05105517080028417,0.05105517080028417
2019-10-23,6.6,17.5,0.1,0.041769412876295146,0.041769412876295146
2019-10-24,10.0,17.1,0.0,0.00464037955650208,0.00464037955650208
2019-10-25,9.3,18.2,0.0,0.10683002363718612,0.10683002363718612
2019-10-26,9.9,17.6,0.0,0.05105517080028417,0.05105517080028417
2019-10-27,5.3,16.5,0.6,-0.051055170800284065,-0.051055170800284065
2019-10-28,5.1,12.2,2.4,-0.45795529072956126,-0.45795529072956126
2019-10-29,-0.1,8.8,0.0,-0.8067443582836507,-0.8067443582836507
2019-10-30,-1.6,9.9,0.0,-0.6896689161836205,-0.6896689161836205
2019-10-31,-2.7,7.5,0.0,-0.9523011693971882,-0.9523011693971882
2019-11-01,-2.4,7.0,1.2,-1.0108100852236621,-1.0108100852236621
2019-11-02,6.4,16.2,0.4,-0.07892725858967085,-0.07892725858967085
2019-11-03,7.0,12.9,4.7,-0.3900207856806909,-0.3900207856806909
2019-11-04,7.9,13.0,5.1,-0.38039147055604844,-0.38039147055604844
2019-11-05,6.9,11.2,0.8,-0.5568823010397621,-0.5568823010397621
2019-11-06,5.4,9.0,1.6,-0.7850846758856311,-0.7850846758856311
2019-11-07,5.5,11.7,0.0,-0.5071150443694553,-0.5071150443694553
2019-11-08,2.8,10.2,1.6,-0.6585416513824698,-0.6585416513824698
2019-11-09,2.8,7.6,0.5,-0.9407817518824507,-0.9407817518824507
2019-11-10,1.7,8.8,0.0,-0.8067443582836507,-0.8067443582836507
2019-11-11,0.3,7.0,0.0,-1.0108100852236621,-1.0108100852236621
2019-11-12,0.3,7.7,0.0,-0.929320232164489,-0.929320232164489
